Lat,Lng,CDD30,HDD30
35.1411,-114.5686,4586.0,1047.0
35.8833,-111.4,1759.0,3836.0
31.5589,-110.5294,978.0,3307.0
36.1533,-109.5394,922.0,5191.0
33.8161,-111.9019,3514.0,1433.0
32.8878,-111.7117,3791.0,1311.0
32.9947,-111.5367,3581.0,1587.0
32.3222,-110.4147,1946.0,2486.0
33.9825,-112.3617,3339.0,1311.0
32.4178,-110.9303,2335.0,2171.0
33.2058,-111.6819,3592.0,1462.0
34.54,-110.9153,281.0,6209.0
34.3494,-111.6981,2139.0,2611.0
34.7569,-112.4567,1111.0,4151.0
32.0061,-109.3572,1086.0,3144.0
33.0561,-109.3072,2791.0,2176.0
36.9936,-112.9719,965.0,4905.0
34.305,-112.165,1716.0,2846.0
31.3456,-110.2542,1224.0,2817.0
34.2097,-112.3453,645.0,4573.0
32.9711,-113.4981,3627.0,1165.0
35.2947,-113.3664,633.0,4975.0
31.345,-109.5394,2046.0,2120.0
32.7481,-109.1214,1760.0,3118.0
33.4192,-111.6444,3807.0,1311.0
33.6133,-114.4706,4460.0,1003.0
32.7819,-111.5186,3488.0,1439.0
35.1611,-111.7311,56.0,7778.0
33.0364,-111.3881,3729.0,1248.0
32.6231,-109.9428,1615.0,2818.0
33.0094,-109.9855,2249.0,2669.0
35.2681,-111.7428,25.0,8052.0
33.6028,-111.7131,3773.0,1358.0
36.9414,-112.5258,769.0,5133.0
35.7164,-109.5661,545.0,5837.0
32.9481,-112.7131,4328.0,1043.0
33.3767,-110.7711,1828.0,2912.0
36.0528,-112.1503,229.0,6314.0
31.8931,-110.9978,2911.0,1677.0
34.0219,-109.4519,9.0,7861.0
34.7433,-111.4139,62.0,7350.0
34.3925,-110.5581,302.0,5696.0
34.47,-112.8881,1388.0,3406.0
34.9094,-110.1544,1060.0,4571.0
34.7522,-112.1114,1607.0,3370.0
35.8111,-110.1917,543.0,5656.0
35.2,-114.0167,1923.0,3073.0
31.96,-111.5972,673.0,3877.0
35.55,-109.7,770.0,5085.0
33.2742,-113.9653,4160.0,942.0
34.45,-114.3667,4751.0,1103.0
34.5031,-114.3603,4643.0,1135.0
33.3369,-112.1472,4156.0,1164.0
36.8644,-111.6022,2619.0,3321.0
33.4992,-112.3631,3904.0,1284.0
36.4192,-109.2269,615.0,5838.0
33.1139,-112.0303,3806.0,1482.0
34.1142,-109.8589,112.0,6405.0
36.0183,-114.0681,2898.0,2719.0
33.4044,-110.87,2648.0,2165.0
