GEOID,Population
05000US12081,21572
05000US12083,18354
05000US12085,9885
05000US12086,147187
05000US12087,5556
05000US12089,4534
05000US12091,13108
05000US12093,2834
05000US12095,66791
05000US12097,13083
05000US12099,91339
05000US12101,33234
05000US12103,65484
05000US12105,41620
05000US12107,4947
05000US12109,11541
05000US12111,13387
05000US12113,9526
05000US12115,25806
05000US12117,25150
05000US12119,6385
05000US12121,2450
05000US12123,1598
05000US12125,2060
05000US12127,31308
05000US12129,2057
05000US12131,3761
05000US12133,2479
05000US13001,1421
05000US13003,904
05000US13005,866
05000US13007,364
05000US13009,2990
05000US13011,1767
05000US13013,5219
05000US13015,5560
05000US13017,1291
05000US13019,1605
05000US13021,11360
05000US13023,1040
05000US13025,1024
05000US13027,1290
05000US13029,2036
05000US13031,4819
05000US13033,2028
05000US13035,1697
05000US13037,1022
05000US13039,3470
05000US13043,999
05000US13045,6673
05000US13047,3520
05000US13049,972
05000US13051,19438
05000US13053,1368
05000US13055,2605
05000US13057,11282
05000US13059,8525
05000US13061,460
05000US13063,14158
05000US13065,714
05000US13067,40699
05000US13069,3180
05000US13071,3243
05000US13073,7129
05000US13075,1544
05000US13077,7664
05000US13079,940
05000US13081,1493
05000US13083,1451
05000US13085,1333
05000US13087,2315
05000US13089,43564
05000US13091,2109
05000US13093,1619
05000US13095,7302
05000US13097,6826
05000US13099,1131
05000US13101,448
05000US13103,3637
05000US13105,1593
05000US13107,2228
05000US13109,1204
05000US13111,1754
05000US13113,7657
05000US13115,6667
05000US13117,13052
05000US13119,2026
05000US13121,55833
05000US13123,2029
05000US13125,536
05000US13127,4646
05000US13129,3532
05000US13131,1968
05000US13133,1944
05000US13135,41367
05000US13137,3762
05000US13139,11732
05000US13141,838
05000US13143,1904
05000US13145,2250
05000US13147,1762
05000US13149,1378
05000US13151,9359
05000US13153,7782
05000US13155,753
05000US13157,4910
05000US13159,1208
05000US13161,881
05000US13163,1784
05000US13165,489
05000US13167,1084
05000US13169,1967
05000US13171,1369
05000US13173,592
05000US13175,4471
05000US13177,2100
05000US13179,5059
05000US13181,851
05000US13183,768
05000US13185,8723
05000US13187,1533
05000US13189,1601
05000US13191,644
05000US13193,1511
05000US13195,2394
05000US13197,656
05000US13199,1845
05000US13201,689
05000US13205,2042
05000US13207,1828
05000US13209,1239
05000US13211,1655
05000US13213,2773
05000US13215,14907
05000US13217,5569
05000US13219,3311
05000US13221,1416
05000US13223,7015
05000US13225,1925
05000US13227,2092
05000US13229,1459
05000US13231,1986
05000US13233,2405
05000US13235,948
05000US13237,1170
05000US13239,284
05000US13241,1628
05000US13243,516
05000US13245,13129
05000US13247,5059
05000US13249,622
05000US13251,1546
05000US13253,955
05000US13255,3866
05000US13257,1560
05000US13259,678
05000US13261,2443
05000US13263,781
05000US13265,371
05000US13267,2681
05000US13269,952
05000US13271,1567
05000US13273,1081
05000US13275,3567
05000US13277,2842
05000US13279,1795
05000US13281,1101
05000US13283,582
05000US13285,4946
05000US13287,689
05000US13289,770
05000US13291,1142
05000US13293,2156
05000US13295,4552
05000US13297,5310
05000US13299,2791
05000US13301,698
05000US13303,2362
05000US13305,2462
05000US13307,287
05000US13309,979
05000US13311,1476
05000US13313,6621
05000US13315,1427
05000US13317,981
05000US13319,1347
05000US13321,1798
05000US15001,15534
05000US15003,87403
05000US15005,37
05000US15007,7076
05000US15009,13476
05000US16001,23965
05000US16003,663
05000US16005,7527
05000US16007,1139
05000US16009,1742
05000US16011,3982
05000US16013,1680
05000US16015,905
05000US16017,3501
05000US16019,8878
05000US16021,906
05000US16023,525
05000US16025,201
05000US16027,12493
05000US16029,1123
05000US16031,2598
05000US16033,127
05000US16035,1482
05000US16037,555
05000US16039,2022
05000US16041,1717
05000US16043,1764
05000US16045,1100
05000US16047,1424
05000US16049,2291
05000US16051,2787
05000US16053,1906
05000US16055,9985
05000US16057,4428
05000US16059,874
05000US16061,1359
05000US16063,1142
05000US16065,3163
05000US16067,1906
05000US16069,4183
05000US16071,654
05000US16073,1401
05000US16075,1652
05000US16077,729
05000US16079,1944
05000US16081,851
05000US16083,6297
05000US16085,634
05000US16087,1167
05000US17001,7115
05000US17003,1141
05000US17005,2226
05000US17007,3401
05000US17009,879
05000US17011,6641
05000US17013,1069
05000US17015,2804
05000US17017,2193
05000US17019,18598
05000US17021,4942
05000US17023,1879
05000US17025,1687
05000US17027,5975
05000US17029,4972
05000US17031,380191
05000US17033,2965
05000US17035,1581
05000US17037,9704
05000US17039,2195
05000US17041,2964
05000US17043,74451
05000US17045,2640
05000US17047,1268
05000US17049,4481
05000US17051,2994
05000US17053,2339
05000US17055,5659
05000US17057,5669
05000US17059,1160
05000US17061,2312
05000US17063,5385
05000US17065,917
05000US17067,3423
05000US17069,791
05000US17071,1356
05000US17073,5977
05000US17075,5962
05000US17077,5862
05000US17079,1239
05000US17081,6865
05000US17083,2293
05000US17085,3320
05000US17087,2138
05000US17089,32461
05000US17091,11706
05000US17093,5825
05000US17095,7148
05000US17097,59880
05000US17099,13367
05000US17101,2661
05000US17103,5014
05000US17105,6028
05000US17107,5507
05000US17109,3879
05000US17111,24031
05000US17113,17170
05000US17115,11698
05000US17117,6441
05000US17119,22100
05000US17121,6284
05000US17123,2564
05000US17125,2556
05000US17127,1614
05000US17129,1985
05000US17131,2915
05000US17133,2595
05000US17135,4999
05000US17137,4460
05000US17139,2117
05000US17141,6114
05000US17143,17751
05000US17145,2726
05000US17147,2586
05000US17149,2946
05000US17151,609
05000US17153,1101
05000US17155,1364
05000US17157,4676
05000US17159,1971
05000US17161,14314
05000US17163,19259
05000US17165,2681
05000US17167,19075
05000US17169,973
05000US17171,1282
05000US17173,3359
05000US17175,1397
05000US17177,5617
05000US17179,13835
05000US17181,2396
05000US17183,9575
05000US17185,1642
05000US17187,2263
05000US17189,3072
05000US17191,2690
05000US17193,2143
05000US17195,6801
05000US17197,49101
05000US17199,6599
05000US17201,24354
05000US17203,5476
05000US18001,3301
05000US18003,30466
05000US18005,6387
05000US18007,1687
05000US18009,1511
05000US18011,5079
05000US18013,1371
05000US18015,2535
05000US18017,4261
05000US18019,8224
05000US18021,2694
05000US18023,3582
05000US18025,1477
05000US18027,3378
05000US18029,4051
05000US18031,2544
05000US18033,3986
05000US18035,10528
05000US18037,3386
05000US18039,13802
05000US18041,2179
05000US18043,6641
05000US18045,2379
05000US18047,2308
05000US18049,1967
05000US18051,3872
05000US18053,7045
05000US18055,3444
05000US18057,17215
05000US18059,4744
05000US18061,3185
05000US18063,9923
05000US18065,5902
05000US18067,6799
05000US18069,4454
05000US18071,3885
05000US18073,3154
05000US18075,2680
05000US18077,2938
05000US18079,2015
05000US18081,9644
05000US18083,3932
05000US18085,7972
05000US18087,3730
05000US18089,36206
05000US18091,11265
05000US18093,3576
05000US18095,13094
05000US18097,65067
05000US18099,5168
05000US18101,1147
05000US18103,4391
05000US18105,10460
05000US18107,4596
05000US18109,5763
05000US18111,1953
05000US18113,4494
05000US18115,732
05000US18117,2234
05000US18119,2241
05000US18121,1986
05000US18123,2262
05000US18125,1544
05000US18127,12515
05000US18129,2777
05000US18131,1612
05000US18133,3896
05000US18135,3517
05000US18137,3380
05000US18139,1919
05000US18141,24386
05000US18143,1688
05000US18145,3734
05000US18147,2713
05000US18149,2577
05000US18151,3839
05000US18153,2690
05000US18155,1176
05000US18157,14169
05000US18159,1680
05000US18161,894
05000US18163,14845
05000US18165,2176
05000US18167,9147
05000US18169,3616
05000US18171,1244
05000US18173,4641
05000US18175,2814
05000US18177,7466
05000US18179,2825
