DIVISION,REPORTABLE_DOMAIN,TYPEHUQ,KOWNRENT,YEARMADE,OCCUPYYRANGE,BEDROOMS,TOTROOMS,STOVEN,NUMFRIG,NUMPC,INTERNET,INDIALUP,INDSL,INCABLE,INSATEL,FUELHEAT,EMPLOYHH,SDESCENT,Householder_Race,EDUCATION,NHSLDMEM,HHAGE,WORKPAY,RETIREPY,SSINCOME,INVESTMT,MONEYPY,POVERTY100,FOODASST,DOLLAREL,DOLLARNG,DOLLARLP
3,6,6,1,1985,2,2,4,1,1,1,1,0,1,0,0,3,0,0,1,2,1,57,1,0,0,1,42500,501,0,1041,0,0
5,17,2,1,1998,14,2,5,1,1,1,1,0,0,0,1,3,0,0,1,2,2,54,1,0,0,0,52500,501,0,1903,0,393
5,17,3,1,2005,2,2,5,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,5,1,67,1,1,0,0,67500,501,0,962,0,0
7,21,2,1,2009,2,4,11,2,2,1,1,0,1,0,0,1,0,0,1,5,4,37,1,0,0,0,120000,501,0,3411,567,0
7,21,2,1,1971,7,4,7,1,1,1,1,0,0,0,0,3,0,0,2,5,4,44,1,0,0,1,92500,501,0,1662,0,0
9,26,2,1,1955,7,3,7,1,2,2,-2,-2,-2,-2,-2,1,0,1,3,5,1,62,1,0,0,0,120000,501,0,804,565,0
5,15,1,1,2000,7,4,6,1,1,1,1,0,1,0,0,3,0,0,1,3,3,40,1,0,0,0,52500,501,0,1490,0,0
9,26,3,1,1970,14,2,5,2,1,1,1,0,1,0,0,3,0,0,7,4,1,76,0,1,0,1,42500,501,0,516,0,0
7,21,2,2,1966,7,2,4,1,1,1,1,0,0,0,1,3,0,0,1,3,2,57,1,0,0,0,37500,501,0,3043,0,0
4,10,2,1,1976,34,4,7,1,2,1,1,0,0,1,0,3,0,0,1,2,2,53,1,0,0,0,62500,501,0,2367,0,0
5,17,2,1,1957,7,2,6,1,2,1,1,0,0,1,0,3,0,0,1,6,2,72,0,1,0,1,32500,501,0,2145,0,801
5,17,8,2,1970,14,-2,1,1,1,1,0,-2,-2,-2,-2,-2,0,1,1,2,2,34,0,0,0,0,3750,100,0,661,0,0
9,27,2,1,1958,2,5,13,2,1,1,1,0,0,1,0,1,0,0,1,4,5,37,1,0,0,1,110000,501,0,1416,1324,0
5,17,2,1,1991,14,4,6,1,1,1,1,0,1,0,0,3,0,1,1,5,4,47,1,0,0,0,87500,501,0,4379,0,0
1,2,2,1,1920,14,3,7,1,1,1,1,0,0,1,0,1,0,1,1,3,2,45,1,0,0,0,120000,501,0,231,1628,0
1,2,1,1,1983,14,2,4,1,1,1,1,0,0,1,0,4,0,0,1,3,2,66,1,1,0,0,87500,501,0,1873,0,172
3,8,1,1,1995,2,3,5,1,1,1,1,0,0,1,0,1,0,0,3,3,4,39,1,0,1,0,37500,501,0,886,558,0
5,17,2,1,2001,7,3,5,1,1,1,1,0,1,0,0,3,0,0,4,5,1,80,1,1,1,0,42500,501,0,1092,50,0
3,8,2,1,1953,34,5,10,1,1,1,1,0,0,0,1,2,0,0,1,3,3,59,0,1,0,0,62500,501,0,1598,0,3693
5,17,2,1,1993,14,3,5,1,3,1,1,0,0,1,0,1,0,0,1,6,1,71,0,1,0,0,42500,501,0,945,402,0
7,21,2,1,1980,2,4,7,1,2,1,1,0,0,1,0,1,0,0,1,6,8,44,1,0,0,0,92500,501,0,1762,425,0
4,10,7,2,1961,2,2,4,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,2,2,25,1,0,0,0,22500,501,0,582,77,0
9,27,1,1,1965,7,0,1,1,1,1,1,0,0,1,0,3,0,0,1,1,1,63,0,1,1,0,12500,150,0,556,51,49
7,21,2,1,1954,34,2,4,1,1,2,-2,-2,-2,-2,-2,1,0,1,1,2,2,65,1,1,0,0,52500,501,0,1065,414,0
7,21,2,1,2005,2,5,16,2,2,1,1,0,1,0,0,3,0,0,2,6,5,39,1,0,0,0,120000,501,0,2034,1558,0
9,26,2,2,1974,7,3,6,1,2,1,1,0,0,1,0,1,0,0,1,4,2,65,1,1,0,0,52500,501,0,1104,538,0
4,12,2,1,1958,24,3,6,1,2,2,-2,-2,-2,-2,-2,3,0,0,1,3,2,51,1,0,0,0,62500,501,0,1518,685,0
4,10,2,1,2001,7,4,7,1,1,1,1,0,0,1,0,1,0,0,1,2,1,51,1,0,0,0,62500,501,0,535,605,0
5,15,8,2,1995,2,2,5,1,1,1,1,0,0,1,0,3,0,1,1,7,4,56,1,0,0,0,62500,501,0,1080,0,0
7,21,2,2,2001,2,3,7,1,1,1,1,0,0,1,0,1,0,0,1,5,4,27,0,0,0,0,2500,100,0,1086,466,0
6,19,2,2,1965,2,3,6,1,1,1,1,0,0,1,0,1,0,0,1,5,3,40,1,0,0,0,22500,150,1,1194,588,0
4,11,2,1,2005,2,3,6,1,1,1,1,0,0,0,0,3,0,0,1,5,2,62,1,0,0,0,97500,501,0,1493,0,0
2,3,9,1,1920,34,1,4,2,1,2,-2,-2,-2,-2,-2,1,0,0,2,2,1,82,0,1,0,1,27500,501,0,404,1418,0
4,12,4,2,1977,2,2,4,1,1,2,-2,-2,-2,-2,-2,3,0,1,1,3,4,33,1,0,0,0,22500,150,1,723,0,0
2,3,2,2,1920,2,3,6,1,1,1,1,0,1,0,0,1,0,0,1,2,3,36,1,0,0,0,42500,501,0,576,1399,0
1,2,4,2,1920,2,2,5,1,1,1,1,0,1,1,0,1,0,0,7,3,3,31,1,0,0,0,92500,501,0,829,2582,0
8,24,2,2,1980,2,3,7,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,2,2,71,0,1,0,0,27500,501,0,1845,766,0
2,5,2,1,1998,14,2,6,1,1,1,1,0,1,0,0,1,0,0,1,2,1,60,1,0,0,0,42500,501,0,1391,764,0
1,1,2,1,2004,7,4,9,1,2,1,1,0,0,0,0,4,0,0,1,7,5,33,1,0,0,0,77500,501,0,2495,0,4648
3,7,2,1,1928,14,4,8,1,1,1,1,0,1,0,0,1,0,0,1,5,1,52,1,0,0,1,62500,501,0,559,977,0
9,27,4,2,2002,2,3,5,1,1,1,1,0,0,1,0,-2,0,0,1,2,3,38,1,0,0,0,22500,150,1,1142,0,0
9,26,2,1,1970,14,3,6,1,1,1,1,0,0,1,0,1,0,1,1,4,1,52,1,0,0,1,87500,501,0,1082,216,0
5,15,6,2,1996,2,2,5,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,1,4,28,1,0,0,0,22500,150,0,1582,0,0
3,9,2,1,1974,7,3,7,1,1,1,1,0,1,0,0,1,0,0,1,5,6,44,1,0,0,0,110000,501,0,2587,938,1406
7,21,2,1,1920,2,3,5,1,2,1,1,0,1,0,0,1,0,0,1,5,1,59,1,0,0,0,47500,501,0,1172,360,0
5,14,2,1,1920,14,4,17,1,3,1,1,0,0,1,0,1,0,0,1,5,2,60,1,0,0,1,120000,501,0,4221,1625,0
4,12,6,2,1950,2,1,3,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,1,1,40,0,0,1,0,37500,501,1,685,0,0
1,1,2,1,1930,14,3,9,1,1,1,1,0,0,1,0,4,0,0,1,4,3,65,1,1,0,0,32500,501,0,956,0,2588
9,27,2,1,2006,2,3,6,1,2,1,1,0,1,0,0,6,0,0,1,3,2,59,1,0,0,0,82500,501,0,1227,0,0
1,2,2,1,1987,14,2,5,1,1,1,1,0,0,1,0,1,0,0,1,2,1,78,1,1,0,0,27500,501,0,621,1074,0
9,26,7,2,1985,2,1,3,1,1,1,1,1,0,0,0,3,0,0,2,3,1,40,1,0,0,0,47500,501,0,486,112,0
3,9,2,1,1960,2,3,6,1,2,1,1,0,0,1,0,1,0,0,1,3,2,27,1,0,0,0,67500,501,0,1059,738,0
9,27,2,1,1938,7,2,5,1,1,1,1,0,0,1,0,3,0,0,1,5,2,53,1,0,0,0,27500,501,1,591,36,0
7,21,7,1,1960,7,2,4,1,1,1,1,0,0,1,0,3,0,0,1,6,2,67,0,1,0,1,17500,150,0,2064,0,0
2,3,4,2,1960,2,3,6,1,1,1,1,0,0,1,0,1,0,0,1,6,4,41,1,0,0,0,42500,501,0,1307,1621,0
2,5,3,1,1939,64,3,6,1,1,1,1,0,0,1,0,4,0,0,2,4,3,48,1,1,0,0,82500,501,0,1563,283,1180
4,11,2,2,1960,7,2,4,1,1,1,1,0,0,0,0,1,0,0,1,3,2,61,0,1,0,0,17500,150,0,1071,863,0
7,21,2,1,1992,2,3,6,2,1,2,-2,-2,-2,-2,-2,2,0,0,2,3,4,45,0,0,0,0,52500,501,0,1860,201,403
4,12,2,1,1980,14,3,7,1,1,2,-2,-2,-2,-2,-2,2,0,0,1,7,7,53,1,0,0,0,27500,100,0,2647,0,917
2,3,8,2,1945,14,3,5,1,1,2,-2,-2,-2,-2,-2,1,0,1,1,1,2,44,0,0,0,0,8750,100,1,586,952,0
6,19,7,2,1985,2,2,4,1,1,1,1,0,0,1,0,3,0,0,6,3,3,41,1,0,0,0,32500,501,1,1691,0,0
4,11,2,1,1932,34,2,6,1,1,1,1,0,1,0,0,1,0,0,1,2,2,61,1,1,0,0,62500,501,0,1079,656,0
4,12,2,1,1958,2,3,6,1,1,1,1,0,1,1,0,1,0,0,1,5,3,29,1,0,0,0,72500,501,0,530,1027,0
2,4,4,1,1992,14,2,5,1,2,1,1,0,1,0,0,1,0,0,1,2,4,36,1,0,0,0,87500,501,0,1243,809,0
9,26,2,1,1988,7,3,7,1,1,1,1,1,0,0,0,1,0,0,1,3,2,84,0,1,1,1,120000,501,0,4176,359,0
5,17,3,2,1990,2,2,5,1,1,1,1,1,0,1,0,-2,0,1,1,2,4,32,1,0,0,0,32500,150,0,1002,0,0
9,26,2,2,1980,2,3,5,1,2,1,1,1,0,0,0,3,0,0,1,2,3,40,0,0,0,0,62500,501,0,1636,23,0
3,7,2,3,1951,2,2,4,1,1,1,0,-2,-2,-2,-2,1,0,1,2,1,5,32,1,0,0,0,22500,100,1,365,486,0
7,21,7,2,1970,2,1,3,1,1,1,1,0,0,0,0,3,0,0,2,3,1,45,1,0,0,0,47500,501,0,1388,0,0
3,6,2,1,1942,2,2,8,1,2,1,1,0,0,1,0,1,0,0,1,6,2,42,1,0,0,0,72500,501,0,808,786,0
3,7,2,1,1962,24,3,7,1,1,1,1,0,1,0,0,1,0,0,1,3,4,52,1,0,0,0,62500,501,0,1269,551,0
9,27,2,1,2001,2,3,7,1,1,1,1,0,0,1,0,3,0,0,1,3,3,31,1,0,0,0,110000,501,0,818,1287,0
8,25,2,1,1996,14,3,6,1,2,1,1,0,1,0,0,1,0,0,1,8,2,52,1,0,0,1,72500,501,0,1538,469,0
9,27,2,1,2004,2,3,7,1,1,1,1,0,0,1,0,1,0,0,1,5,4,34,1,0,0,1,110000,501,0,1579,1699,0
1,2,2,1,1920,2,2,7,1,1,1,1,0,0,1,0,4,0,0,1,5,2,36,1,0,0,0,110000,501,0,1161,397,666
9,26,8,1,1979,7,2,5,1,1,1,1,0,1,0,0,1,0,0,1,5,2,63,1,1,0,1,120000,501,0,893,117,0
5,17,2,1,1999,14,2,5,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,2,1,77,1,1,0,1,27500,501,0,905,0,0
4,10,3,1,2005,2,2,5,1,2,2,-2,-2,-2,-2,-2,1,0,0,1,2,1,85,0,1,1,1,32500,501,0,735,700,0
9,26,8,2,1950,2,1,2,1,1,1,1,0,0,0,0,3,0,0,1,5,1,24,1,0,0,1,97500,501,0,58,0,179
8,22,2,1,1998,14,6,9,1,2,1,1,0,1,0,0,2,0,0,1,5,2,62,0,1,0,1,77500,501,0,1416,0,2230
5,13,1,1,1987,24,3,6,1,1,2,-2,-2,-2,-2,-2,6,0,0,1,1,1,57,0,1,0,0,27500,501,0,1795,0,0
5,17,4,1,1952,34,2,7,2,1,1,1,0,1,0,0,-2,0,0,1,5,1,62,0,0,0,0,2500,100,0,703,0,0
4,10,1,1,1979,7,3,5,1,1,1,1,0,1,0,0,1,0,0,1,2,4,43,1,0,1,0,17500,100,0,755,828,0
2,3,4,1,1934,7,2,5,1,1,1,1,0,0,1,0,4,0,0,2,2,5,38,1,0,0,1,47500,501,0,962,146,1396
3,8,4,2,1920,2,2,4,1,1,2,-2,-2,-2,-2,-2,3,0,1,1,1,4,29,1,0,0,0,17500,100,1,658,0,0
5,17,2,1,1992,14,3,8,1,2,1,1,0,0,1,0,3,0,0,1,5,2,83,0,1,1,1,37500,501,0,1840,50,0
4,10,4,2,1970,2,4,6,1,4,1,1,0,0,0,0,3,0,0,1,3,4,20,1,0,0,0,3750,100,0,477,0,0
2,3,4,1,1920,54,2,5,1,1,1,1,0,0,1,0,1,0,0,1,2,1,58,1,0,0,1,32500,501,0,620,1169,0
2,3,2,2,1955,2,2,5,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,2,1,45,1,0,0,0,92500,501,0,1332,1295,0
9,26,6,2,1920,7,-2,1,1,1,1,1,0,1,0,0,1,0,0,1,5,1,70,0,1,0,0,12500,150,0,0,217,0
2,3,4,2,1968,44,2,4,1,1,1,1,0,0,1,0,1,0,0,1,2,1,84,1,1,0,0,67500,501,0,471,980,209
8,25,2,1,1950,7,3,4,2,1,1,1,0,1,0,0,1,0,0,1,3,5,36,1,0,0,0,92500,501,0,1958,752,0
3,8,2,1,1920,14,3,8,1,1,1,1,0,1,0,0,1,0,0,1,3,4,46,1,0,0,0,82500,501,0,998,1469,0
4,12,2,1,2000,2,4,8,1,1,1,1,0,0,1,0,1,0,0,1,5,3,20,1,0,0,0,77500,501,0,1324,417,0
5,16,8,2,2001,2,2,5,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,2,2,34,1,0,0,0,72500,501,0,631,0,0
1,2,3,1,1973,2,2,5,1,1,1,1,0,1,0,0,3,0,0,1,5,2,63,1,1,0,1,120000,501,0,1805,0,0
5,17,6,2,2008,2,1,2,1,1,1,0,-2,-2,-2,-2,-2,0,1,1,5,1,35,1,0,0,0,37500,501,0,618,0,0
5,16,1,1,1993,14,3,5,1,1,1,1,0,0,1,0,3,0,0,1,1,3,64,0,1,0,0,22500,150,0,2184,0,0
4,10,2,1,1920,34,3,5,1,2,2,-2,-2,-2,-2,-2,2,0,0,1,2,2,62,1,0,0,0,42500,501,0,1428,0,1754
7,20,4,2,2005,2,2,4,1,1,1,1,0,0,1,0,3,0,0,1,6,2,60,1,1,0,1,120000,501,0,1610,0,0
9,26,2,1,1954,34,3,6,1,2,1,1,0,0,0,0,1,0,0,1,6,3,65,1,1,0,1,47500,501,0,2012,495,0
1,2,7,2,1963,2,3,5,1,1,1,1,0,0,1,0,4,0,0,2,3,4,27,1,0,0,0,12500,100,0,846,0,1098
4,12,2,1,1999,14,3,7,1,2,1,1,1,0,0,0,1,0,0,1,6,2,56,1,1,0,0,110000,501,0,941,1105,0
9,26,2,1,1938,24,4,10,2,2,1,1,0,1,0,0,1,0,0,1,5,2,62,1,0,0,1,120000,501,0,11409,906,0
4,12,2,3,1920,7,2,4,1,1,1,1,0,1,0,0,2,0,0,1,5,1,29,1,0,0,1,32500,501,0,661,0,1164
7,20,2,1,1966,14,3,5,1,2,1,1,1,0,0,0,3,0,0,2,2,3,47,1,0,1,0,22500,150,0,2090,636,0
5,17,2,1,2008,2,3,6,2,2,1,1,0,1,0,0,3,0,0,1,3,2,67,0,1,0,1,47500,501,0,2129,0,0
1,2,7,2,1950,2,-2,1,2,1,2,-2,-2,-2,-2,-2,4,0,0,1,1,1,54,0,0,1,0,3750,100,1,638,90,696
8,24,8,2,1975,2,2,4,1,1,1,1,0,0,1,0,3,0,0,1,5,2,27,1,0,0,0,57500,501,0,1187,211,0
7,21,2,2,1980,2,3,5,2,1,2,-2,-2,-2,-2,-2,3,0,1,1,5,6,35,1,0,0,0,52500,501,0,2667,0,0
9,27,2,1,2007,2,4,10,2,1,1,1,0,1,0,0,1,0,0,1,4,4,42,1,0,0,0,120000,501,0,773,1075,0
4,12,2,1,1996,7,4,12,1,1,1,1,0,0,1,0,1,0,0,1,4,4,40,1,0,0,0,120000,501,0,1020,1000,0
4,10,2,1,1947,24,3,4,1,2,2,-2,-2,-2,-2,-2,1,0,0,1,5,1,47,1,0,0,0,67500,501,0,667,540,0
7,21,2,1,1987,24,3,7,1,1,1,1,0,1,0,0,1,0,0,1,5,1,58,1,0,0,0,57500,501,0,950,636,0
7,20,2,1,1965,24,3,7,1,1,1,1,0,1,0,0,1,0,0,2,6,2,55,1,0,0,0,82500,501,0,1236,1039,0
9,26,2,2,1988,2,4,8,1,1,1,1,0,1,0,0,1,0,1,1,3,6,35,1,0,0,0,27500,100,0,1232,416,0
3,6,4,1,1984,14,2,5,1,1,1,1,1,0,0,0,1,0,0,1,3,1,81,1,1,0,0,17500,501,0,337,442,0
5,14,3,1,1976,7,3,6,1,1,1,1,0,1,0,0,3,0,1,1,4,3,56,1,0,0,0,22500,150,0,1696,0,0
5,17,2,1,1920,24,3,6,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,2,4,77,1,1,1,0,42500,501,1,1371,0,0
9,26,2,1,2005,2,4,9,1,1,1,1,0,0,1,0,1,0,1,1,2,6,44,0,0,0,0,97500,501,0,1551,705,0
4,10,2,1,1995,14,4,7,1,1,1,1,0,1,0,0,2,0,0,1,8,5,43,1,0,0,1,120000,501,0,778,0,1121
3,7,2,1,1938,7,3,6,1,1,1,1,0,0,1,0,1,0,0,2,5,4,40,1,0,0,0,72500,501,0,938,1499,0
7,20,9,2,2005,2,1,3,1,1,1,1,0,0,1,0,3,0,0,6,4,1,26,1,0,0,0,27500,501,0,667,279,0
9,26,2,1,1978,14,3,7,2,1,1,1,0,0,1,0,1,0,0,1,6,4,48,1,0,0,0,110000,501,0,921,320,0
7,21,2,1,1969,14,4,8,1,1,1,0,-2,-2,-2,-2,1,0,1,1,1,5,40,0,0,0,0,2500,100,1,1701,577,0
9,26,2,1,1970,24,3,6,2,1,2,-2,-2,-2,-2,-2,3,0,0,2,5,2,38,0,0,0,0,12500,100,0,1185,723,0
2,3,2,1,1965,24,4,7,1,2,2,-2,-2,-2,-2,-2,4,0,0,1,4,2,55,1,1,0,0,120000,501,0,1144,0,1662
7,20,7,2,1950,2,2,3,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,3,2,45,0,0,0,0,2500,100,1,667,0,0
8,22,2,1,2000,2,3,5,1,1,1,1,0,1,0,0,1,0,0,1,4,3,35,1,0,0,0,67500,501,0,883,1094,0
2,3,4,1,1950,24,3,7,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,2,3,78,0,1,0,1,47500,501,1,1786,1458,0
2,3,2,1,1946,7,4,8,2,2,2,-2,-2,-2,-2,-2,1,0,0,1,5,5,60,1,0,0,0,97500,501,0,3238,1612,0
8,22,3,1,1983,7,3,6,1,1,1,1,0,1,0,0,1,0,0,1,3,5,39,1,0,0,0,110000,501,0,811,679,0
4,12,2,1,1932,44,4,8,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,1,3,83,0,1,0,0,12500,100,1,723,1425,0
8,24,2,1,1970,2,4,8,1,1,1,1,0,0,1,0,3,0,0,1,5,2,44,1,0,0,0,120000,501,0,2793,893,0
5,15,2,1,1957,2,4,7,1,1,1,1,0,0,1,0,3,0,0,2,3,1,71,0,1,0,1,22500,501,0,1127,0,0
1,1,2,1,1971,2,5,10,2,1,1,1,0,0,1,0,6,0,0,1,2,4,42,1,0,0,0,92500,501,0,2258,0,637
2,3,2,2,1937,2,2,4,1,1,1,1,0,0,1,0,3,0,0,1,4,1,24,0,0,0,0,32500,501,0,680,52,0
5,16,4,2,1970,7,1,3,1,1,1,1,0,1,0,0,3,0,0,1,3,1,62,1,0,0,1,17500,501,0,732,0,0
7,21,2,1,1956,54,3,7,1,1,1,1,0,1,0,0,1,0,0,2,3,4,51,1,1,0,0,47500,501,0,2211,491,0
6,19,2,2,1985,2,2,3,1,1,2,-2,-2,-2,-2,-2,3,0,1,6,2,1,28,1,0,0,0,22500,501,0,975,0,0
2,3,9,2,1954,14,1,3,1,1,1,1,0,0,1,0,4,0,0,1,5,2,32,1,0,0,1,8750,100,0,668,74,1081
9,26,1,2,1979,2,3,7,1,2,1,1,0,0,0,0,6,0,0,1,3,5,50,1,0,1,0,62500,501,0,736,0,1069
3,6,2,1,1964,7,3,6,1,1,1,1,0,1,0,0,1,0,1,1,3,3,35,1,0,0,0,62500,501,0,1019,1023,0
6,19,3,2,1980,2,1,2,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,2,1,54,1,0,0,0,42500,501,0,619,0,0
4,12,2,1,1950,7,5,7,1,1,1,1,0,1,0,0,1,0,0,1,2,4,45,1,0,0,0,52500,501,0,764,801,0
5,15,2,1,1980,14,4,6,1,1,1,1,0,0,1,0,2,0,0,2,2,3,40,1,0,0,0,42500,501,0,1830,0,475
2,5,2,1,1998,7,4,8,1,1,1,1,0,0,1,0,1,0,0,1,5,3,50,1,0,0,0,97500,501,0,1268,996,0
2,3,2,1,1950,34,2,6,1,1,1,1,0,0,1,0,1,0,0,1,2,2,63,0,1,0,1,47500,501,0,797,1063,0
1,1,2,1,1997,2,4,7,1,1,1,1,0,0,1,0,4,0,0,1,5,3,37,1,0,0,1,120000,501,0,2286,0,3873
5,17,4,2,1984,2,2,4,1,1,1,1,0,1,0,0,-2,0,0,1,5,2,25,1,0,0,0,47500,501,0,1047,0,0
2,3,2,1,1969,14,4,10,1,2,1,1,0,0,1,0,1,0,0,4,6,4,50,1,1,0,1,110000,501,0,2234,1443,0
9,26,8,2,1970,34,-2,1,1,1,2,-2,-2,-2,-2,-2,1,0,0,2,2,1,62,0,0,0,0,12500,150,0,525,204,0
9,26,8,2,1970,7,2,5,1,1,1,1,0,0,1,0,-2,0,0,1,3,3,29,1,0,0,0,72500,501,0,468,0,0
7,21,4,2,1960,2,1,3,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,1,6,33,1,1,0,0,2500,100,0,1508,0,0
1,1,8,2,1973,2,2,4,1,1,1,1,0,0,1,0,1,0,0,4,2,5,38,1,0,0,0,57500,501,0,467,1203,0
7,20,2,1,1961,44,3,7,1,1,2,-2,-2,-2,-2,-2,2,0,0,1,2,1,83,0,1,0,0,22500,501,0,910,0,651
9,26,7,2,1976,2,2,4,1,2,2,-2,-2,-2,-2,-2,-2,0,1,1,3,4,23,1,0,0,0,17500,100,0,331,0,358
2,3,2,1,1952,14,4,6,1,1,1,1,0,1,1,0,4,0,0,1,2,2,54,0,0,1,0,87500,501,0,2350,0,1940
9,26,4,2,1947,2,-2,1,1,1,2,-2,-2,-2,-2,-2,1,0,1,1,1,2,62,1,0,0,0,17500,150,0,628,405,0
8,24,2,1,1987,2,2,7,1,2,1,0,-2,-2,-2,-2,3,0,0,1,2,2,65,0,1,0,0,47500,501,0,1962,0,0
7,20,2,1,1965,2,3,6,1,2,1,1,1,0,0,0,1,0,0,2,2,6,54,1,0,0,0,77500,501,1,1703,1274,0
7,21,2,1,1954,14,2,5,1,1,1,1,0,1,0,0,1,0,1,1,5,3,43,0,0,0,0,27500,501,0,1162,196,0
3,6,2,1,1956,14,3,9,2,1,1,1,0,1,0,0,1,0,0,1,3,5,46,1,0,0,0,47500,501,0,1750,810,0
6,19,1,2,1975,2,2,4,1,1,1,1,0,0,1,0,3,0,0,2,2,2,46,1,0,0,0,22500,501,0,1161,0,0
9,27,2,1,1972,7,3,6,1,1,1,1,0,1,0,0,-2,0,0,5,2,6,25,1,1,0,0,72500,501,1,2546,0,0
9,26,9,2,1993,14,-2,1,1,1,2,-2,-2,-2,-2,-2,-2,0,0,4,1,1,62,1,0,0,0,27500,501,0,238,57,0
8,22,2,1,1920,44,3,5,1,1,1,1,1,0,0,0,1,0,0,1,2,1,59,0,1,0,0,32500,501,0,484,1084,0
2,4,2,1,1997,2,4,8,1,2,1,1,0,1,0,0,1,0,0,4,3,3,52,0,0,0,0,87500,501,0,3029,1942,0
3,7,2,1,2002,7,5,13,1,2,1,1,0,1,0,0,1,0,0,4,7,4,38,1,0,0,1,120000,501,0,1663,1674,0
4,10,7,2,1975,2,2,4,1,1,1,1,0,0,1,0,3,0,0,1,2,3,29,1,0,0,0,12500,100,0,1126,0,0
5,13,7,2,2004,2,2,4,1,1,1,1,0,0,1,0,3,0,0,2,3,2,23,1,0,0,0,32500,501,0,1005,0,0
3,7,2,1,1930,14,3,7,1,1,1,1,0,0,1,0,1,0,0,1,3,2,45,1,0,0,0,97500,501,0,1361,1057,0
3,8,2,1,1950,24,2,4,1,1,2,-2,-2,-2,-2,-2,4,0,0,1,1,1,45,0,0,0,0,2500,100,1,460,0,618
9,26,2,1,1968,2,4,10,2,2,1,1,0,0,1,0,1,0,0,1,4,3,40,1,0,0,0,52500,501,0,427,212,0
7,21,2,1,1972,34,5,9,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,5,2,74,1,1,0,0,17500,150,0,2093,840,0
3,6,2,1,1928,14,3,8,2,2,1,1,0,0,1,0,1,0,0,1,5,3,48,1,0,0,0,120000,501,0,2683,1190,0
4,10,2,1,1960,44,3,6,1,2,1,1,1,0,0,0,1,0,0,1,2,1,75,0,1,0,1,3750,100,0,915,1080,0
9,26,2,2,1948,2,2,5,1,1,1,1,0,0,1,0,-2,0,1,1,1,6,39,1,0,0,0,8750,100,1,165,372,0
4,10,2,1,1920,24,3,8,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,5,1,62,1,0,0,0,42500,501,0,684,946,0
7,21,2,1,2001,7,4,9,1,3,1,1,0,1,0,0,1,0,0,2,5,3,48,1,0,0,0,120000,501,0,2910,1073,0
1,1,2,1,2004,7,3,6,1,1,1,1,0,0,1,0,4,0,0,1,4,2,39,1,0,0,1,87500,501,0,1300,0,1492
4,10,2,1,1955,44,4,8,1,1,1,1,0,0,1,0,1,0,0,1,2,3,69,1,1,0,0,47500,501,0,1686,717,0
5,17,4,2,1970,2,2,4,1,1,1,1,0,0,1,0,3,0,0,1,2,1,24,1,0,0,0,32500,501,0,2841,0,0
1,1,2,1,1920,24,3,8,1,2,1,1,0,0,1,0,6,0,0,1,2,6,64,0,1,0,0,57500,501,0,2183,0,876
1,1,9,2,1985,7,1,3,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,1,1,62,0,1,0,0,8750,100,0,492,847,0
5,17,2,1,1965,44,4,7,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,2,2,52,1,1,0,0,12500,100,0,2148,0,0
5,16,1,1,2000,7,2,4,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,2,1,52,1,0,0,0,22500,501,0,511,0,0
7,21,9,2,1980,2,2,4,1,1,1,1,0,1,0,0,3,0,0,3,5,2,23,0,0,0,0,2500,100,0,880,0,0
4,11,2,1,1996,2,4,10,1,2,1,1,0,0,1,0,1,0,0,1,3,5,32,1,0,0,0,82500,501,0,1539,1052,0
5,17,2,1,1971,14,4,7,1,1,1,1,0,0,1,0,3,0,0,1,6,3,58,1,1,0,0,120000,501,0,2136,640,0
6,18,2,2,1996,2,3,5,1,1,1,1,0,1,0,0,3,0,0,1,3,3,37,1,0,0,0,37500,501,0,2177,203,0
1,1,8,2,1920,2,1,2,1,1,1,0,-2,-2,-2,-2,1,0,0,1,5,1,61,0,1,0,0,22500,501,0,265,914,0
5,17,1,1,1978,34,2,6,2,1,1,1,0,0,1,0,-2,0,0,1,5,1,65,1,0,0,0,32500,501,0,1725,0,0
3,6,2,1,1960,7,3,7,1,2,1,1,0,0,1,0,1,0,0,1,1,2,78,0,1,1,1,52500,501,0,1044,1023,0
2,3,2,1,1948,14,3,8,1,1,1,1,0,0,1,0,4,0,0,2,2,6,58,1,1,0,0,17500,100,0,1809,0,3436
