DIVISION,REPORTABLE_DOMAIN,TYPEHUQ,KOWNRENT,YEARMADE,OCCUPYYRANGE,BEDROOMS,TOTROOMS,STOVEN,NUMFRIG,NUMPC,INTERNET,INDIALUP,INDSL,INCABLE,INSATEL,FUELHEAT,EMPLOYHH,SDESCENT,Householder_Race,EDUCATION,NHSLDMEM,HHAGE,WORKPAY,RETIREPY,SSINCOME,INVESTMT,MONEYPY,POVERTY100,FOODASST,DOLLAREL,DOLLARNG,DOLLARLP
5,15,6,2,2000,2,4,7,1,1,1,1,0,1,0,0,1,0,0,2,5,4,35,0,0,0,0,2500,100,0,1165,757,0
8,22,6,2,1980,2,-2,1,1,1,1,0,-2,-2,-2,-2,1,0,1,1,3,1,22,1,0,0,0,12500,150,0,555,413,0
3,9,2,1,1984,24,4,8,1,2,1,1,0,1,0,0,1,0,0,1,6,2,66,1,1,1,1,120000,501,0,1096,1111,0
9,26,3,2,1968,2,3,5,1,1,1,1,0,0,1,0,1,0,1,1,1,4,43,1,0,0,0,22500,150,0,367,412,0
5,14,9,2,1970,2,2,4,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,1,3,20,0,0,0,0,2500,100,1,345,544,0
4,12,1,1,1984,14,3,5,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,1,2,58,1,0,0,0,47500,501,0,1723,0,0
5,15,2,1,1985,7,3,6,1,1,1,1,0,0,1,0,1,0,0,1,4,3,42,1,0,0,1,67500,501,0,1663,1581,0
2,3,9,2,1999,2,-2,1,1,1,2,-2,-2,-2,-2,-2,4,0,0,5,0,1,65,0,0,0,0,3750,100,0,280,52,1025
4,11,2,2,1946,14,2,5,1,1,2,-2,-2,-2,-2,-2,3,0,0,1,2,1,76,0,1,0,1,22500,501,0,249,472,0
7,21,3,1,1979,7,3,5,1,1,1,1,0,0,0,0,3,0,0,6,5,2,37,1,0,0,0,67500,501,0,1599,0,0
2,3,4,2,1920,14,2,7,1,1,1,1,0,1,0,0,4,0,0,1,4,1,42,1,0,0,0,47500,501,0,900,142,875
7,21,2,1,1971,14,4,10,2,2,1,1,0,0,1,0,3,0,0,1,5,5,47,1,0,0,0,120000,501,0,2467,0,0
8,25,2,1,1999,7,3,5,1,1,1,1,0,0,1,0,1,0,1,1,3,2,46,1,0,0,0,37500,501,0,943,446,0
7,21,2,1,2005,2,4,9,2,2,1,1,0,1,0,0,1,0,0,1,4,5,40,1,0,0,0,97500,501,0,2565,438,0
7,21,2,1,2000,2,4,7,1,1,1,1,0,0,1,0,1,0,0,2,4,4,47,1,0,0,0,62500,501,0,2046,303,0
1,1,2,1,1972,14,3,7,1,2,1,1,0,0,1,0,4,0,0,1,5,3,44,1,0,0,1,120000,501,0,3077,0,1430
3,7,2,1,1955,14,2,6,1,1,1,1,1,0,0,0,1,0,0,1,3,2,49,1,0,0,0,72500,501,0,560,789,0
1,1,2,3,1976,7,3,5,1,1,1,1,0,0,0,1,6,0,0,1,1,7,52,1,0,0,0,110000,501,0,8112,36,0
3,7,4,2,1970,2,3,5,1,1,1,1,0,0,1,0,3,0,0,1,3,7,27,1,0,0,0,37500,150,1,2408,0,0
7,21,2,2,1960,7,2,4,1,1,2,-2,-2,-2,-2,-2,3,0,1,1,1,4,42,1,0,0,0,17500,100,0,1769,0,0
6,19,8,2,1940,2,2,4,1,1,1,1,1,0,0,0,3,0,0,2,1,1,66,0,1,0,0,12500,150,0,792,0,0
8,23,2,1,1920,64,3,5,1,1,1,1,0,1,0,0,1,0,0,1,5,2,57,1,1,0,0,52500,501,0,297,652,0
9,26,2,1,1966,2,3,5,1,2,2,-2,-2,-2,-2,-2,3,0,1,1,3,9,43,1,0,0,0,42500,150,0,1541,466,0
5,17,2,1,1992,14,3,6,1,1,1,1,0,0,0,0,3,0,0,1,6,1,48,1,0,0,0,47500,501,0,1435,0,0
9,26,7,2,1970,7,1,2,1,1,1,1,0,0,1,0,3,0,0,1,6,1,46,1,0,0,0,120000,501,0,588,102,0
4,10,8,2,2005,2,2,4,1,1,1,1,0,1,0,0,3,0,0,1,5,2,24,1,0,0,0,27500,501,0,374,200,0
8,24,7,2,1992,2,2,4,1,1,1,1,0,0,1,0,-2,0,1,1,5,3,28,1,0,0,0,92500,501,0,1196,392,0
