PUMA,CDD,HDD
603759.0,866.0,1063.0
603709.0,1558.0,1398.0
603725.0,679.0,1274.0
603748.0,1801.0,2908.0
603754.0,1837.0,949.0
603764.0,369.0,9842.0
603900.0,1708.0,2672.0
604101.0,882.0,2907.0
604102.0,451.0,2621.0
604702.0,656.0,4942.0
604701.0,1547.0,2570.0
605301.0,405.0,2724.0
605303.0,882.0,2907.0
605302.0,131.0,2819.0
605500.0,717.0,2647.0
605700.0,423.0,5545.0
605901.0,2204.0,2234.0
605908.0,666.0,1756.0
605913.0,505.0,2009.0
605902.0,1294.0,1286.0
605912.0,666.0,1756.0
605904.0,1299.0,1153.0
605905.0,1313.0,1725.0
605909.0,1191.0,1718.0
605906.0,1294.0,1286.0
605914.0,543.0,1715.0
605910.0,2915.0,2228.0
605917.0,1299.0,1153.0
605916.0,1455.0,1575.0
605911.0,1299.0,1153.0
605915.0,1047.0,1514.0
605903.0,666.0,1756.0
605918.0,543.0,1715.0
605907.0,2132.0,3139.0
606101.0,1597.0,2226.0
606103.0,423.0,5545.0
606102.0,1597.0,2226.0
606512.0,666.0,1756.0
606503.0,1903.0,1914.0
606502.0,4224.0,951.0
606501.0,2922.0,2492.0
606505.0,753.0,3804.0
606510.0,1697.0,1674.0
606513.0,1534.0,1599.0
606508.0,1714.0,1904.0
606504.0,1710.0,2123.0
606515.0,4388.0,903.0
606514.0,543.0,1715.0
606506.0,1801.0,2908.0
606509.0,1697.0,1674.0
606511.0,963.0,4060.0
606507.0,1572.0,2146.0
606706.0,1597.0,2226.0
606703.0,119.0,6884.0
606709.0,1248.0,2666.0
606704.0,1248.0,2666.0
606708.0,1366.0,2992.0
606701.0,1534.0,2758.0
606710.0,1597.0,2226.0
606707.0,1248.0,2666.0
606711.0,6.0,8741.0
606702.0,1528.0,2532.0
606705.0,1597.0,2226.0
606712.0,1528.0,2532.0
607108.0,1937.0,1599.0
607110.0,1102.0,1794.0
607111.0,1863.0,1475.0
607103.0,1735.0,2929.0
607114.0,1191.0,1718.0
607115.0,1801.0,2908.0
607105.0,89.0,6548.0
607107.0,1714.0,1904.0
607113.0,1534.0,1599.0
607101.0,1494.0,4105.0
607109.0,1102.0,1794.0
607106.0,1937.0,1599.0
607104.0,1937.0,1599.0
607102.0,1707.0,2505.0
607112.0,1294.0,1286.0
607305.0,1047.0,1514.0
607313.0,862.0,1321.0
607315.0,866.0,1063.0
607301.0,1102.0,1794.0
607307.0,1036.0,2192.0
607321.0,862.0,1321.0
607311.0,666.0,1756.0
607303.0,1575.0,1295.0
607308.0,1313.0,1725.0
607318.0,1261.0,1313.0
607314.0,2204.0,2234.0
607309.0,1047.0,1514.0
607302.0,1382.0,1926.0
607319.0,1382.0,1926.0
607312.0,1313.0,1725.0
607322.0,457.0,4988.0
607320.0,1261.0,1313.0
607317.0,1186.0,1211.0
607306.0,1313.0,1725.0
607316.0,866.0,1063.0
607310.0,866.0,1063.0
607304.0,1047.0,1514.0
607506.0,164.0,2589.0
607507.0,142.0,2857.0
607505.0,142.0,2862.0
607504.0,164.0,2589.0
607502.0,164.0,2589.0
607501.0,385.0,2741.0
607503.0,164.0,2589.0
607704.0,1203.0,2686.0
607703.0,1056.0,2880.0
607702.0,1456.0,2563.0
607701.0,1203.0,2686.0
607901.0,121.0,2783.0
607902.0,155.0,6844.0
608103.0,142.0,2862.0
608104.0,32.0,3629.0
608105.0,422.0,2764.0
608106.0,422.0,2764.0
608102.0,377.0,2400.0
608101.0,72.0,3247.0
608302.0,470.0,1902.0
608301.0,121.0,2783.0
608303.0,470.0,1902.0
608514.0,400.0,2871.0
608512.0,811.0,2171.0
608501.0,422.0,2764.0
608513.0,429.0,1803.0
608509.0,811.0,2171.0
608511.0,811.0,2171.0
608505.0,400.0,2871.0
608504.0,811.0,2171.0
608508.0,613.0,2641.0
608510.0,811.0,2171.0
608506.0,747.0,4521.0
608502.0,530.0,2367.0
608503.0,530.0,2367.0
608507.0,400.0,2871.0
608701.0,131.0,2819.0
608702.0,162.0,2836.0
608900.0,1741.0,2961.0
609501.0,184.0,2720.0
609502.0,975.0,2649.0
609503.0,1420.0,2716.0
609701.0,288.0,3179.0
609702.0,526.0,2694.0
609703.0,819.0,2811.0
609904.0,1570.0,2358.0
609902.0,344.0,5987.0
609901.0,1470.0,2421.0
609903.0,570.0,6414.0
610100.0,312.0,5298.0
610701.0,1909.0,2507.0
610702.0,1976.0,2835.0
610703.0,3958.0,1118.0
611105.0,602.0,1904.0
611106.0,749.0,1589.0
611103.0,602.0,1904.0
611102.0,1139.0,2502.0
611104.0,404.0,1935.0
611101.0,429.0,1803.0
611300.0,1640.0,2527.0
800102.0,6.0,9833.0
800103.0,14.0,10168.0
800100.0,1388.0,4628.0
800200.0,361.0,6816.0
800300.0,759.0,5980.0
800400.0,29.0,9893.0
800600.0,3.0,9403.0
800700.0,549.0,7296.0
800823.0,494.0,6283.0
800808.0,494.0,6283.0
800806.0,496.0,5988.0
800813.0,569.0,6440.0
800816.0,496.0,5988.0
800818.0,435.0,6773.0
800820.0,695.0,6128.0
800824.0,547.0,9064.0
800821.0,695.0,6128.0
800810.0,695.0,6128.0
800803.0,587.0,6415.0
800819.0,1199.0,5335.0
800817.0,496.0,5988.0
800812.0,816.0,7353.0
800809.0,589.0,6058.0
800801.0,82.0,7774.0
800800.0,2089.0,2723.0
800814.0,998.0,4687.0
800804.0,43.0,7748.0
800802.0,440.0,6504.0
800811.0,88.0,8299.0
800815.0,695.0,6128.0
800807.0,569.0,6440.0
800822.0,644.0,6049.0
800805.0,0.0,10976.0
800900.0,0.0,11418.0
801001.0,528.0,6320.0
801002.0,1.0,11034.0
804106.0,1054.0,5205.0
804104.0,23.0,8646.0
804105.0,404.0,6480.0
804102.0,786.0,5246.0
804103.0,182.0,7464.0
804101.0,182.0,7464.0
900101.0,652.0,5854.0
900103.0,702.0,5382.0
900102.0,692.0,5582.0
900104.0,654.0,6121.0
900105.0,652.0,5854.0
900100.0,597.0,6159.0
900302.0,223.0,7523.0
900300.0,477.0,6904.0
900306.0,669.0,5791.0
900301.0,1446.0,3619.0
900304.0,759.0,6104.0
900303.0,1142.0,4777.0
900305.0,483.0,6475.0
900500.0,289.0,7014.0
900700.0,390.0,6401.0
